time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag,,,,-9.823794359
139.826014,0.010806,-0.040698,-0.016758,-9.846522,-9.84662,0.001065,-0.005325,0,99280.47,25.97,-0.022825641,-0.017353,,,,
139.837246,0.011231,-0.004788,-0.076608,-9.8154,-9.8157,0.001065,-0.005325,0.001065,99280.47,25.97,0.008094359,0.013567,,,,
139.848478,0.011232,0.02394,-0.124488,-9.820188,-9.821006,-0.00213,-0.00426,0.00213,99280.47,25.97,0.002788359,0.008261,,,,
139.859611,0.011133,-0.067032,-0.074214,-9.80343,-9.80394,0.00213,-0.00426,0.00213,99280.47,25.97,0.019854359,0.025327,,,,
139.870777,0.011166,0.021546,-0.14364,-9.846522,-9.847593,0,-0.00426,0,99280.47,25.97,-0.023798641,-0.018326,,,,
139.883007,0.01223,0.01197,-0.081396,-9.8154,-9.815745,0.00213,-0.005325,0,99280.47,25.98,0.008049359,0.013522,,,,
139.893764,0.010757,-0.014364,-0.114912,-9.853704,-9.854384,0.003195,-0.00426,0.001065,99280.47,25.98,-0.030589641,-0.025117,,,,
139.904282,0.010518,0.021546,-0.052668,-9.853704,-9.853868,0,-0.003195,0.003195,99280.47,25.98,-0.030073641,-0.024601,,,,
139.915626,0.011344,-0.02394,-0.122094,-9.8154,-9.816189,0.003195,-0.00852,0.003195,99280.47,25.98,0.007605359,0.013078,,,,
139.926882,0.011256,0.031122,-0.093366,-9.856098,-9.856589,0,-0.00426,0.003195,99280.47,25.98,-0.032794641,-0.027322,,,,
139.937884,0.011002,-0.026334,-0.076608,-9.836946,-9.83728,0.00639,-0.009585,0.00213,99280.47,25.98,-0.013485641,-0.008013,,,,
139.949056,0.011171,0.01197,-0.124488,-9.813006,-9.813803,0.00213,-0.007455,0.00426,99282.99,25.98,0.009991359,0.015464,,,,
139.960174,0.011119,-0.021546,-0.105336,-9.793854,-9.794444,0.001065,-0.001065,0.00213,99282.99,25.98,0.029350359,0.034823,,,,
139.971407,0.011233,-0.033516,-0.055062,-9.820188,-9.8204,0.005325,-0.00639,0.00213,99282.99,25.98,0.003394359,0.008867,,,,
139.982609,0.011201,-0.067032,-0.102942,-9.829764,-9.830532,-0.001065,-0.005325,0.003195,99282.99,25.98,-0.006737641,-0.001265,,,,
139.993831,0.011223,-0.02394,-0.02394,-9.820188,-9.820246,0.00639,-0.005325,0.005325,99282.99,25.98,0.003548359,0.009021,,,,
140.004952,0.011121,0.004788,-0.076608,-9.853704,-9.854003,-0.003195,-0.00213,0,99285.59,25.98,-0.030208641,-0.024736,,,,
140.016094,0.011142,-0.02394,0.021546,-9.808218,-9.808271,0.00213,-0.005325,0.00213,99285.59,25.98,0.015523359,0.020996,,,,
140.027338,0.011244,-0.026334,-0.045486,-9.860886,-9.861026,0.003195,-0.007455,0.00426,99285.59,25.98,-0.037231641,-0.031759,,,,
140.038566,0.011228,0.021546,-0.028728,-9.824976,-9.825042,-0.003195,-0.00639,0.00213,99285.59,25.98,-0.001247641,0.004225,,,,
140.049688,0.011122,0.014364,-0.09576,-9.80343,-9.803908,0.005325,-0.00639,0.00213,99285.59,25.98,0.019886359,0.025359,,,,
140.061167,0.011479,-0.04788,-0.07182,-9.824976,-9.825355,0.001065,-0.003195,-0.001065,99285.59,25.98,-0.001560641,0.003912,,,,
140.072036,0.010869,0.004788,-0.062244,-9.80343,-9.803629,0.00213,-0.00639,0.003195,99288.21,25.98,0.020165359,0.025638,,,,
140.083283,0.011247,-0.02394,-0.090972,-9.832158,-9.832608,0.003195,-0.00639,0.00213,99288.21,25.98,-0.008813641,-0.003341,,,,
140.094549,0.011265,0.026334,-0.093366,-9.80343,-9.80391,0.003195,-0.003195,0.00213,99288.21,25.98,0.019884359,0.025357,,,,
140.105781,0.011232,0.007182,-0.019152,-9.8154,-9.815421,0.00213,-0.00213,0.00213,99288.21,25.98,0.008373359,0.013846,,,,
140.116783,0.011002,-0.016758,-0.038304,-9.829764,-9.829853,0.001065,-0.003195,0.00213,99288.21,25.98,-0.006058641,-0.000586,,,,
140.127948,0.011165,0.055062,-0.086184,-9.813006,-9.813539,0.00213,-0.003195,0.003195,99288.21,25.98,0.010255359,0.015728,,,,
140.140068,0.01212,0.050274,-0.03591,-9.820188,-9.820382,0.00213,-0.00426,0,99290.71,25.98,0.003412359,0.008885,,,,
140.150461,0.010393,-0.002394,-0.045486,-9.805824,-9.80593,0.001065,-0.003195,0.003195,99290.71,25.98,0.017864359,0.023337,,,,
140.161583,0.011122,0.064638,-0.067032,-9.829764,-9.830205,0.003195,-0.00639,0.003195,99290.71,25.98,-0.006410641,-0.000938,,,,
